Car Name,Car Link,Price,Make,Model,YOM,Mileage (km),Gear,Fuel Type,Options,Engine (cc)
Other Viva Elite 2010 Car,https://riyasewana.com/buy/other-viva-elite-sale-matale-7524995,"Rs. 3,525,000",Other,Viva Elite,2010,95000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
Toyota Prius 4th Gen 2016 Car,https://riyasewana.com/buy/toyota-prius-4th-sale-colombo-7524991,"Rs. 13,595,000",Toyota,Prius 4th Gen,2016,94000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1800
Suzuki Spacia 2017 Car,https://riyasewana.com/buy/suzuki-spacia-sale-colombo-7524990,"Rs. 6,850,000",Suzuki,Spacia,2017,33000,Automatic,Hybrid,-,660
BMW 520D M-SPORT 2015 Car,https://riyasewana.com/buy/bmw-520d-m-sport-sale-kurunegala-7524987,"Rs. 26,500,000",BMW,520D M-SPORT,2015,61500,Automatic,Diesel,-,2000
Toyota AXIO 141 2010 Car,https://riyasewana.com/buy/toyota-axio-141-sale-boralesgamuwa-7524983,"Rs. 8,375,000",Toyota,AXIO 141,2010,96000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1500
Suzuki Alto K10 Vxi 2015 Car,https://riyasewana.com/buy/suzuki-alto-k10-sale-kegalle-7524982,"Rs. 3,990,000",Suzuki,Alto K10 Vxi,2015,87000,Automatic,Petrol,-,1000
Mercedes-Benz S300 W 221 2010 Car,https://riyasewana.com/buy/mercedes-benz-s300-w-sale-colombo-7524981,"Rs. 23,000,000",Mercedes-Benz,S300 W 221,2010,48000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",3000
Mercedes-Benz Car- 1995 Car,https://riyasewana.com/buy/mercedes-benz-car--sale-nugegoda-7524980,"Rs. 4,550,000",Mercedes-Benz,Benz,1995,132000,Automatic,Diesel,-,2450
Chevrolet Cruze GM 2007 Car,https://riyasewana.com/buy/chevrolet-cruze-gm-sale-gampaha-7524978,Negotiable,Chevrolet,Cruze GM,2007,120000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1300
Suzuki Wagon R Stingray 2014 Car,https://riyasewana.com/buy/suzuki-wagon-r-sale-kurunegala-7524977,"Rs. 5,000,000",Suzuki,Wagon R Stingray,2014,99000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",650
Toyota Vitz KSP90 2008 Car,https://riyasewana.com/buy/toyota-vitz-ksp90-sale-kuliyapitiya-7524972,"Rs. 4,925,000",Toyota,Vitz KSP90,2008,116000,Automatic,Petrol,"AIR CONDITION, POWER STEERING, POWER MIRROR, POWER WINDOW",1000
Micro Panda 2013 Car,https://riyasewana.com/buy/micro-panda-sale-gampaha-7524971,"Rs. 1,790,000",Micro,Panda,2013,85000,Manual,Petrol,-,1000
Suzuki Maruti 800 2011 Car,https://riyasewana.com/buy/suzuki-maruti-800-sale-malabe-7524970,Negotiable,Suzuki,Maruti 800,2011,31000,Manual,Petrol,AIR CONDITION,796
